Gene	DNA	RNA
TOBG-MED-174_747	7.52350936913298	7.61622070243463
TOBG-MED-174_75	6.30579350448766	1.91504971992976
TOBG-MED-174_774	4.29019165216035	2.60583551176156
TOBG-MED-174_788	2.91566422962354	14.1676493843347
TOBG-MED-174_797	9.74365659123325	7.60916047466876
TOBG-MED-174_804	5.84551660634987	12.42685548188
TOBG-MED-174_810	35.3309900766147	10.7299109307829
TOBG-MED-174_813	2.83314543067193	3.44166954383603
TOBG-MED-174_815	13.4669693117141	22.9033076370075
TOBG-MED-174_828	20.6304298027383	3.98707072837835
TOBG-MED-174_844	5.65295841225835	12.0175002424769
TOBG-MED-174_845	7.13616037191029	7.2240984484479
TOBG-MED-174_880	19.3750590742726	15.6910525439406
TOBG-MED-174_889	10.1801157847873	15.4583462562127
TOBG-MED-174_891	3.38381313409831	16.4424550601293
TOBG-MED-174_911	2.02914470034611	3.69746930722925
TOBG-MED-174_917	7.60287128230949	30.0165862747218
TOBG-MED-174_922	2.92988698196317	3.55918996728409
TOBG-MED-174_926	8.22776481236232	64.9674059096719
TOBG-MED-174_935	3.461826117017	12.6161488753874
TOBG-MED-174_937	9.66525935429229	9.22525675428232
TOBG-MED-174_956	7.60287128230949	18.4717453998288
TOBG-MED-174_960	9.70710030387797	2.94801593249793
TOBG-MED-174_965	3.75979237122034	10.2765344125808
TOBG-MED-587_1004	15.6413237318346	19.0008839399281
TOBG-MED-587_1006	10.4456840226513	12.6892859703172
TOBG-MED-587_1011	6.74861608204999	65.5850735544483
TOBG-MED-587_1012	7.55505448179182	6.88333908767205
TOBG-MED-587_1014	5.06858085487299	24.6289938664384
TOBG-MED-587_1015	33.3681572945805	10.1338047679616
TOBG-MED-587_1017	13.8873255792474	12.6526117334087
TOBG-MED-587_1019	15.4548711030919	54.7616612192923
TOBG-MED-587_1020	10.8071263763763	56.5529423175382
TOBG-MED-587_1024	7.65129721404394	41.8261496155359
TOBG-MED-587_1025	8.64211268061078	32.5448233699142
TOBG-MED-587_1026	9.07748359651057	86.3798371153203
TOBG-MED-587_1029	11.6063155807237	24.6736116089501
TOBG-MED-587_1031	13.009967465035	36.8768057982142
TOBG-MED-587_1034	20.711270044912	9.43492168051601
TOBG-MED-587_1039	20.5342506428188	6.23618754951485
TOBG-MED-587_1045	11.9527727622378	32.6701765653689
TOBG-MED-587_1048	5.35079582452071	8.12509959123873
TOBG-MED-587_1051	9.03198242560074	104.233420470463
TOBG-MED-587_1052	14.1323960306459	6.43794655846974
