KO_ID	Category1
K02137	Oxidative phosphorylation
K02126	Oxidative phosphorylation
K02127	Oxidative phosphorylation
K02128	Oxidative phosphorylation
K02138	Oxidative phosphorylation
K02129	Oxidative phosphorylation
K01549	Oxidative phosphorylation
K02130	Oxidative phosphorylation
K02139	Oxidative phosphorylation
K02140	Oxidative phosphorylation
K02131	Oxidative phosphorylation
K02141	Oxidative phosphorylation
K02142	Oxidative phosphorylation
K02143	Oxidative phosphorylation
K02125	Oxidative phosphorylation
K02117	Oxidative phosphorylation
K02118	Oxidative phosphorylation
K02119	Oxidative phosphorylation
K02120	Oxidative phosphorylation
K02121	Oxidative phosphorylation
K02122	Oxidative phosphorylation
K02107	Oxidative phosphorylation
K02123	Oxidative phosphorylation
K02124	Oxidative phosphorylation
K02145	Oxidative phosphorylation
K02147	Oxidative phosphorylation
K02148	Oxidative phosphorylation
K02149	Oxidative phosphorylation
K02150	Oxidative phosphorylation
K02151	Oxidative phosphorylation
K02152	Oxidative phosphorylation
K02144	Oxidative phosphorylation
K02154	Oxidative phosphorylation
K02155	Oxidative phosphorylation
K03661	Oxidative phosphorylation
K02146	Oxidative phosphorylation
K02153	Oxidative phosphorylation
K03662	Oxidative phosphorylation
K01535	Oxidative phosphorylation
K01541	Oxidative phosphorylation
K01542	Oxidative phosphorylation
K01543	Oxidative phosphorylation
K01544	Oxidative phosphorylation
K01507	Oxidative phosphorylation
K15986	Oxidative phosphorylation
K06019	Oxidative phosphorylation
K15987	Oxidative phosphorylation
K11725	Oxidative phosphorylation
K11726	Oxidative phosphorylation
K00937	Oxidative phosphorylation
K00024	Central carbohydrate metabolism
K00025	Central carbohydrate metabolism
K00026	Central carbohydrate metabolism
K00030	Central carbohydrate metabolism
K00031	Central carbohydrate metabolism
K00033	Central carbohydrate metabolism
K00036	Central carbohydrate metabolism
K00116	Central carbohydrate metabolism
K00131	Central carbohydrate metabolism
K00134	Central carbohydrate metabolism
K00150	Central carbohydrate metabolism
K00161	Central carbohydrate metabolism
K00162	Central carbohydrate metabolism
K00163	Central carbohydrate metabolism
K00164	Central carbohydrate metabolism
K00169	Central carbohydrate metabolism
K00170	Central carbohydrate metabolism
K00171	Central carbohydrate metabolism
K00172	Central carbohydrate metabolism
K00174	Central carbohydrate metabolism
K00175	Central carbohydrate metabolism
K00176	Central carbohydrate metabolism
K00177	Central carbohydrate metabolism
K00234	Central carbohydrate metabolism
K00235	Central carbohydrate metabolism
K00236	Central carbohydrate metabolism
K00237	Central carbohydrate metabolism
K00239	Central carbohydrate metabolism
K00240	Central carbohydrate metabolism
K00241	Central carbohydrate metabolism
K00242	Central carbohydrate metabolism
K00244	Central carbohydrate metabolism
K00245	Central carbohydrate metabolism
K00246	Central carbohydrate metabolism
K00247	Central carbohydrate metabolism
K00382	Central carbohydrate metabolism
K00615	Central carbohydrate metabolism
K00616	Central carbohydrate metabolism
