CDS	DNA	RNA
TOBG-MED-1116_543	24.13634	0
TOBG-MED-1116_544	3.989042	0
TOBG-MED-1116_545	1.840833	0
TOBG-MED-1116_547	3.601684	0
TOBG-MED-1116_548	0.480728	0
TOBG-MED-1116_55	0.625498	0
TOBG-MED-1116_551	1.491437	0
TOBG-MED-1116_552	2.689348	0
TOBG-MED-1116_554	2.380138	0
TOBG-MED-1116_555	3.835381	0
TOBG-MED-1116_557	1.544669	0
TOBG-MED-1116_558	1.931555	0
TOBG-MED-1116_560	9.781502	0
TOBG-MED-1116_562	1.908681	0
TOBG-MED-1116_564	1.965678	0
TOBG-MED-1116_565	1.410734	0
TOBG-MED-1116_567	1.936962	0
TOBG-MED-1116_568	1.747887	0
TOBG-MED-1116_569	2.217509	0
TOBG-MED-1116_57	2.012014	0
TOBG-MED-1116_570	1.366194	0
TOBG-MED-1116_572	0.54421	0
TOBG-MED-1116_573	4.659097	0
TOBG-MED-1116_574	6.938997	0
TOBG-MED-1116_575	5.178648	0
TOBG-MED-1116_576	1.891395	0
TOBG-MED-1116_577	3.470266	0
TOBG-MED-1116_578	1.508764	0
TOBG-MED-1116_579	6.382257	0
TOBG-MED-1116_58	7.242791	0
TOBG-MED-1116_580	5.804966	0
TOBG-MED-1116_583	8.724132	0
TOBG-MED-1116_584	56.261359	3.092811
TOBG-MED-1116_585	3.085188	1.47689
TOBG-MED-1116_586	2.42601	0
TOBG-MED-1116_587	0.752469	0
TOBG-MED-1116_589	0.359561	0
TOBG-MED-1116_59	1.713285	0
TOBG-MED-1116_590	0.966827	0
TOBG-MED-1116_594	3.201923	0
TOBG-MED-1116_595	0.667296	0
TOBG-MED-1116_597	4.320984	0
TOBG-MED-1116_599	8.535256	0.404695
TOBG-MED-1116_60	1.055064	0
TOBG-MED-1116_600	0.868099	0
TOBG-MED-1116_601	3.223588	0
TOBG-MED-1116_605	3.324938	0
TOBG-MED-1116_607	1.718956	0
TOBG-MED-1116_608	0.84274	0
TOBG-MED-1116_609	1.083184	0
TOBG-MED-1116_612	3.932194	0
TOBG-MED-1116_614	12.311918	80.468926
TOBG-MED-1116_616	3.201923	0
TOBG-MED-1116_62	0.623994	0
TOBG-MED-1116_621	1.244996	0
TOBG-MED-1116_622	0.865207	0
TOBG-MED-1116_623	1.36814	0
TOBG-MED-1116_624	2.05922	0
TOBG-MED-1116_625	1.230248	0
TOBG-MED-1116_626	1.224207	0
TOBG-MED-1116_629	1.965678	0
TOBG-MED-1116_630	5.242926	0
TOBG-MED-1116_632	10.65259	0.471279
TOBG-MED-1116_633	54.407763	0
TOBG-MED-1116_634	10.290076	0
TOBG-MED-1116_635	21.478044	68.184865
TOBG-MED-1116_636	7.653479	0
TOBG-MED-1116_637	3.604636	0
TOBG-MED-1116_639	3.165193	0
TOBG-MED-1116_64	5.764076	0
TOBG-MED-1116_641	1.230007	0
TOBG-MED-1116_645	0.653852	0
TOBG-MED-1116_646	1.880265	13.133163
TOBG-MED-1116_647	0.774834	12.45033
TOBG-MED-1116_65	1.932618	0
TOBG-MED-1116_650	1.377063	0
TOBG-MED-1116_651	0.756766	0
TOBG-MED-1116_652	0.592658	0
TOBG-MED-1116_653	0.788961	0
TOBG-MED-1116_657	4.512093	0
TOBG-MED-1116_658	1.072681	0
TOBG-MED-1116_66	2.011362	0
TOBG-MED-1116_661	14.672253	0
TOBG-MED-1116_662	1.387799	0
TOBG-MED-1116_663	2.64707	0
TOBG-MED-1116_664	4.984551	0
TOBG-MED-1116_666	1.936357	0
TOBG-MED-1116_669	1.474843	0
TOBG-MED-1116_67	14.726664	0
TOBG-MED-1116_670	3.704462	0
TOBG-MED-1116_673	2.528219	0
TOBG-MED-1116_674	0.862333	0
TOBG-MED-1116_675	28.817308	0
TOBG-MED-1116_676	3.545377	0
TOBG-MED-1116_68	3.950229	0.474401
TOBG-MED-1116_682	22.218249	90.284834
TOBG-MED-1116_683	9.37962	0
TOBG-MED-1116_684	10.223826	4.841496
TOBG-MED-1116_685	6.227048	0
TOBG-MED-1116_686	1.441745	0
TOBG-MED-1116_689	2.011362	0
TOBG-MED-1116_69	4.506233	0
TOBG-MED-1116_692	2.584946	0
TOBG-MED-1116_693	1.148609	0
TOBG-MED-1116_694	1.880839	0
TOBG-MED-1116_697	0.781834	0
TOBG-MED-1116_699	8.94396	0
TOBG-MED-1116_70	2.425541	0
TOBG-MED-1116_700	2.852465	0
TOBG-MED-1116_702	2.789162	0
TOBG-MED-1116_703	2.307002	0
TOBG-MED-1116_704	1.582732	0
TOBG-MED-1116_705	4.54806	0
TOBG-MED-1116_706	0.568022	0
TOBG-MED-1116_707	0.776086	0
TOBG-MED-1116_71	4.849184	0
TOBG-MED-1116_711	1.637849	0
TOBG-MED-1116_712	1.27846	0
TOBG-MED-1116_713	1.500412	0
TOBG-MED-1116_714	4.591895	0
TOBG-MED-1116_716	1.365896	0
TOBG-MED-1116_717	2.882038	0
TOBG-MED-1116_718	1.50476	0
TOBG-MED-1116_721	2.26672	0
TOBG-MED-1116_722	1.922817	0
TOBG-MED-1116_723	2.495814	0
TOBG-MED-1116_725	0.334112	0
TOBG-MED-1116_726	0.705367	0
TOBG-MED-1116_727	1.109151	0
TOBG-MED-1116_728	1.83433	0
TOBG-MED-1116_73	2.685099	0
TOBG-MED-1116_733	1.395257	0
TOBG-MED-1116_734	0.60025	0
TOBG-MED-1116_735	5.897985	0
TOBG-MED-1116_737	2.098993	0
TOBG-MED-1116_738	5.894949	0
TOBG-MED-1116_739	1.996542	0
TOBG-MED-1116_74	4.804319	0
TOBG-MED-1116_740	1.508764	0
TOBG-MED-1116_742	5.513784	0
TOBG-MED-1116_744	1.328612	0
TOBG-MED-1116_745	3.34173	0
TOBG-MED-1116_746	3.230839	0
TOBG-MED-1116_747	1.148399	0
TOBG-MED-1116_748	3.506582	0
TOBG-MED-1116_749	15.656283	0
TOBG-MED-1116_750	2.093352	0
TOBG-MED-1116_751	0.674227	0
TOBG-MED-1116_752	6.012746	0
TOBG-MED-1116_753	5.240709	0
TOBG-MED-1116_754	2.875306	0
TOBG-MED-1116_755	2.470738	0
TOBG-MED-1116_757	2.634764	0
TOBG-MED-1116_759	0.990653	0
TOBG-MED-1116_760	1.29763	0
TOBG-MED-1116_763	1.327767	0
TOBG-MED-1116_764	1.06371	0
TOBG-MED-1116_765	1.526884	0
TOBG-MED-1116_77	0.786571	0
TOBG-MED-1116_770	2.076609	0
TOBG-MED-1116_771	1.500052	0
TOBG-MED-1116_772	1.544669	0
TOBG-MED-1116_773	5.96264	0
TOBG-MED-1116_774	0.553491	0
TOBG-MED-1116_775	1.143342	0
TOBG-MED-1116_776	4.175481	0
TOBG-MED-1116_777	9.95222	0
TOBG-MED-1116_779	3.831053	0
TOBG-MED-1116_782	10.382222	21.655903
TOBG-MED-1116_783	1.466513	0
TOBG-MED-1116_784	2.381504	0
TOBG-MED-1116_788	0.831938	0
TOBG-MED-1116_789	1.348455	0
TOBG-MED-1116_793	2.331817	0
TOBG-MED-1116_795	4.054131	0
TOBG-MED-1116_796	14.547553	0
TOBG-MED-1116_797	15.758813	54.328679
TOBG-MED-1116_798	3.194675	0
TOBG-MED-1116_80	1.82733	0
TOBG-MED-1116_800	1.577922	0
TOBG-MED-1116_801	2.22782	0
TOBG-MED-1116_802	1.765211	0
TOBG-MED-1116_806	1.006007	0
TOBG-MED-1116_807	3.457782	0
TOBG-MED-1116_808	2.495481	0
TOBG-MED-1116_809	6.286903	0
TOBG-MED-1116_81	0.937026	0
TOBG-MED-1116_811	23.540253	0
TOBG-MED-1116_812	3.543485	0
TOBG-MED-1116_813	4.494203	0
TOBG-MED-1116_814	8.794919	0
TOBG-MED-1116_817	6.79374	0
TOBG-MED-1116_818	11.282557	9.774126
TOBG-MED-1116_819	4.767227	0
TOBG-MED-1116_82	1.540473	0
TOBG-MED-1116_820	2.075683	0
TOBG-MED-1116_821	9.591246	2.409249
TOBG-MED-1116_822	7.698284	0
TOBG-MED-1116_823	5.615949	0
TOBG-MED-1116_824	3.704462	0
TOBG-MED-1116_826	1.612216	0
TOBG-MED-1116_830	0.717055	0
TOBG-MED-1116_831	0.837304	0
TOBG-MED-1116_832	0.975761	0
TOBG-MED-1116_835	1.304148	0
TOBG-MED-1116_836	1.441745	0
TOBG-MED-1116_84	2.199971	0
TOBG-MED-1116_840	1.11391	0
TOBG-MED-1116_841	3.035165	0
TOBG-MED-1116_842	0.735333	0
TOBG-MED-1116_843	0.63779	0
TOBG-MED-1116_850	1.753291	0
TOBG-MED-1116_853	1.324101	0
TOBG-MED-1116_854	5.183538	0
TOBG-MED-1116_856	0.67782	0
